account_id,company,segment,geography,priority,stage,agent_pod,website,contact_url,public_email,public_phone,data_status
ENT-001,Flex (flex.one),Fintech referral partnership,United States,P0,Ready for approval,Flex Partnership,https://www.flex.one,https://www.flex.one/contact,support@flex.one,(833) 353-9267,Public contact verified
ENT-002,Flex Ltd.,Advanced manufacturing and critical infrastructure,Global and US,P0,Ready for contact form,Manufacturing and Infrastructure,https://flex.com,https://flex.com/contact-us,,,Public contact route verified
ENT-003,Electrical Power Products (EP2),Electrical power manufacturing,Des Moines IA and national,P0,Ready for call or contact form,Manufacturing and Infrastructure,https://ep2.com,https://ep2.com/contact-us/,,(515) 262-8161,Public phone and address verified
ENT-004,JetCool,Data center liquid cooling,Massachusetts and national,P0,Ready for approval,Manufacturing and Infrastructure,https://jetcool.com,https://jetcool.com/contact/,hello@jetcool.com,978-449-4600,Public contact verified
ENT-005,BNBuilders,General contractor,California and West Coast,P0,Ready for approval,Construction,https://www.bnbuilders.com,https://www.bnbuilders.com/offices,brian.dague@bnbuilders.com,310-905-2180,Public professional contact verified
ENT-006,Morrow-Meadows Corporation,Electrical contractor,California Oregon Washington,P0,Ready for approval,Construction,https://www.morrow-meadows.com,https://www.morrow-meadows.com/locations/,info@morrow-meadows.com,(909) 598-7700,Public contact verified
ENT-007,Best Contracting Services,Commercial roofing and building envelope,California,P0,Ready for approval,Commercial Roofing,https://bestcontracting.com,https://bestcontracting.com/contact-us/,ops@bestcontracting.com,(310) 328-6969,Public departmental contact verified
ENT-008,Sunbelt Controls,Building automation and controls,California and Southwest,P0,Ready for call or contact form,Property and Controls,https://sunbeltcontrols.com,https://sunbeltcontrols.com/company/locations/,,(925) 660-3900,Public phone and location route verified
ENT-009,Pacific Hospitality Group,Hotel ownership and management,Irvine CA and West Coast,P0,Ready for call or contact form,Property Services,https://www.pacifichospitality.com,https://www.pacifichospitality.com/contact-us,,949-861-4700,Public contact verified
ENT-010,Rosendin,Electrical contractor,United States and California,P0,Research,Construction,https://www.rosendin.com,,,,Contact enrichment required
ENT-011,DPR Construction,General contractor,United States and California,P0,Research,Construction,https://www.dpr.com,,,,Contact enrichment required
ENT-012,Turner Construction,General contractor,United States and California,P0,Research,Construction,https://www.turnerconstruction.com,,,,Contact enrichment required
ENT-013,Hensel Phelps,General contractor,United States and California,P0,Research,Construction,https://www.henselphelps.com,,,,Contact enrichment required
ENT-014,Skanska USA,Construction and development,United States and California,P0,Research,Construction,https://www.usa.skanska.com,,,,Contact enrichment required
ENT-015,Clark Construction,General contractor,United States and California,P0,Research,Construction,https://www.clarkconstruction.com,,,,Contact enrichment required
