control_id,control_title,system_scope,SOC_2_mapping,ISO_27001_mapping,GDPR_mapping,education_minor_mapping,marketplace_legal_mapping,owner,operator,evidence_source,test_method,frequency,status,exception,exception_expiry,last_tested_at,next_test_at,reviewer
GOV-01,ISMS and security/privacy governance,Forge Admitly and related production boundary,Common Criteria governance and risk,Clauses 4-10 and selected Annex A themes,Accountability and security governance,Student and minor governance,Marketplace worker and consumer governance,TBD,TBD,Approved charter scope policies and minutes,Document review and management approval,Annual plus material change,not_started,,,,,,
GOV-02,Enterprise risk assessment and treatment,All systems vendors people and product workflows,Common Criteria risk assessment and monitoring,Clauses 6 and 8 plus Annex A risk themes,Articles 24 25 32 and DPIA where applicable,Minor student profiling and opportunity risk,Worker customer safety fraud and legal risk,TBD,TBD,Risk register treatment plans and approvals,Quarterly risk review,Quarterly,not_started,,,,,,
DAT-01,Authoritative asset vendor and data inventory,Apps pages APIs database storage CI/CD webhooks vendors and roles,Common Criteria system operations and vendor controls,Asset information and supplier controls,Articles 5 24 28 30 and 44-49 where applicable,Student data and school relationship inventory,Marketplace job profile bid message location and verification data,TBD,TBD,Asset inventory vendor register diagrams and ROPA,Sample completeness and owner attestation,Quarterly,designed,,,,,,
IAM-01,Production server-side authentication and authorization,Users workers businesses students employers admins support and exports,Security confidentiality processing integrity,Identity access and authentication controls,Articles 5 25 and 32,Restricted student record access,Tenant role and sensitive lead separation,TBD,TBD,IdP settings role matrix RLS tests and hosted evidence,Negative authorization and tenant-isolation tests,Each release and quarterly,failed,Current client-side demo guard is not production authentication,,,,,
IAM-02,MFA and privileged access lifecycle,Admins developers support and service accounts,Security confidentiality and monitoring,Identity access and personnel controls,Articles 5 25 and 32,School or counselor privileged access where applicable,Lead export payment safety and verification admins,TBD,TBD,MFA settings access reviews and lifecycle tickets,Configuration and sample recertification review,Quarterly,not_started,,,,,,
CRY-01,Encryption and secret management,Data in transit data at rest keys webhooks and deployment secrets,Security and confidentiality,Cryptography and configuration controls,Articles 5 25 32 and 34 where applicable,Student application and sensitive record protection,Exact-location background-check and payment protection,TBD,TBD,TLS tests provider proof secret inventory and rotations,Configuration review secret scan and rotation exercise,Each release and quarterly,designed,Hosted proof and secret lifecycle evidence pending,,,,,
SDL-01,Secure development and controlled change,Source CI/CD deployments and emergency changes,Change management system operations and security,Secure development change and configuration controls,Articles 25 and 32,Age-appropriate and student-data design review,Marketplace safety and regulated-category threat modeling,TBD,TBD,Pull requests CI results threat models release records and rollback proof,Sample trace and security regression review,Each release,implemented_not_tested,Current checks are static MVP controls not operating-effectiveness proof,,,,,
LOG-01,Central security logging monitoring and alerting,Authentication authorization exports data deletion storage webhooks and admin actions,Security availability processing integrity and monitoring,Logging monitoring and event controls,Articles 5 25 30 32 and 33,Student record access and disclosure logging,Verification matching safety and dispute audit trail,TBD,TBD,Logging standard sample events alert rules and tests,Event generation tamper and response test,Quarterly,not_started,,,,,,
VUL-01,Vulnerability management and independent testing,Public attack surface code configuration and infrastructure,Security and availability,Vulnerability and technical assurance controls,Article 32,Student portal and upload attack surfaces,Marketplace profiles messages payments and admin surfaces,TBD,TBD,Scans penetration test remediation tickets and retests,Severity SLA review and independent retest,Quarterly plus material change,not_started,,,,,,
TPR-01,Vendor subprocessor and transfer governance,Hosting database auth analytics AI messaging document background check payment and support vendors,Vendor management confidentiality and availability,Supplier relationship controls,Articles 28 and 44-49 where applicable,School contracts student vendors and AI providers,Background-check messaging payment and marketplace vendors,TBD,TBD,Due diligence contracts DPAs transfer controls and subprocessor list,Contract and control evidence review,Annual plus onboarding,not_started,,,,,,
PRI-01,Lawful processing notice minimization and rights,All personal data collection use sharing retention and deletion,Privacy and confidentiality where included,Privacy and lifecycle control themes,Articles 5-22 24 25 and 30,FERPA role assessment COPPA age rule and state student privacy,US state privacy consumer and communications law,TBD,TBD,Notices lawful-basis register consent records rights log retention and deletion proof,End-to-end request consent withdrawal and deletion test,Semiannual,not_started,,,,,,
